Timestamp,Hennings
2012-08-11T00:00:00-07:00 Los_Angeles,97.26875209808348kW
2012-08-12T00:00:00-07:00 Los_Angeles,98.27029252052309kW
2012-08-13T00:00:00-07:00 Los_Angeles,119.59317485491431kW
2012-08-14T00:00:00-07:00 Los_Angeles,119.48734569549562kW
2012-08-15T00:00:00-07:00 Los_Angeles,129.03840851783755kW
2012-08-16T00:00:00-07:00 Los_Angeles,128.82867066065472kW
2012-08-17T00:00:00-07:00 Los_Angeles,126.97280772527064kW
2012-08-18T00:00:00-07:00 Los_Angeles,116.3549836476644kW
2012-08-19T00:00:00-07:00 Los_Angeles,110.57633121808372kW
2012-08-20T00:00:00-07:00 Los_Angeles,128.1146999994914kW
2012-08-21T00:00:00-07:00 Los_Angeles,120.52772657076524kW
2012-08-22T00:00:00-07:00 Los_Angeles,116.99065844217935kW
2012-08-23T00:00:00-07:00 Los_Angeles,118.86390431722006kW
2012-08-24T00:00:00-07:00 Los_Angeles,114.65608263015747kW
2012-08-25T00:00:00-07:00 Los_Angeles,101.63611022631329kW
2012-08-26T00:00:00-07:00 Los_Angeles,100.52320949236551kW
2012-08-27T00:00:00-07:00 Los_Angeles,120.04754082361858kW
2012-08-28T00:00:00-07:00 Los_Angeles,122.23705983161926kW
2012-08-29T00:00:00-07:00 Los_Angeles,121.19796546300252kW
2012-08-30T00:00:00-07:00 Los_Angeles,126.2073347568512kW
2012-08-31T00:00:00-07:00 Los_Angeles,119.75856296221417kW
2012-09-01T00:00:00-07:00 Los_Angeles,97.30013998349506kW
2012-09-02T00:00:00-07:00 Los_Angeles,87.74928029378252kW
2012-09-03T00:00:00-07:00 Los_Angeles,95.61103328069049kW
2012-09-04T00:00:00-07:00 Los_Angeles,120.75813897450766kW
2012-09-05T00:00:00-07:00 Los_Angeles,125.57638994852704kW
2012-09-06T00:00:00-07:00 Los_Angeles,123.37832156817113kW
2012-09-07T00:00:00-07:00 Los_Angeles,129.40461730957034kW
2012-09-08T00:00:00-07:00 Los_Angeles,109.0061938762665kW
2012-09-09T00:00:00-07:00 Los_Angeles,105.17386722564699kW
2012-09-10T00:00:00-07:00 Los_Angeles,127.5387389659882kW
2012-09-11T00:00:00-07:00 Los_Angeles,128.90542475382486kW
2012-09-12T00:00:00-07:00 Los_Angeles,130.10451134045925kW
2012-09-13T00:00:00-07:00 Los_Angeles,131.66003926595047kW
2012-09-14T00:00:00-07:00 Los_Angeles,130.83359797795617kW
2012-09-15T00:00:00-07:00 Los_Angeles,110.16283377011621kW
