"Date","HDD_daily","CDD_daily","GHI_sum","Humidity_avg"
2017-02-04,16.1208333333333,0,730,87.4479166666667
2017-02-05,17.1125,0,821,85.80375
2017-02-06,19.5625,0,1217,75.45
2017-02-07,19.9208333333333,0,1982,77.9179166666667
2017-02-08,18.95,0,570,80.4929166666667
2017-02-09,13.4166666666667,0,739,88.4029166666667
2017-02-10,12.825,0,710,87.7541666666667
2017-02-11,13.35,0,1713,86.5116666666667
2017-02-12,13.1833333333333,0,2379,80.0441666666667
2017-02-13,13.375,0,2792,78.72875
2017-02-14,10.5416666666667,0,1042,73.6675
2017-02-15,9.1875,0,469,89.0158333333333
2017-02-16,9.85833333333333,0,1688,85.6379166666667
2017-02-17,11.6958333333333,0,2103,85.96875
2017-02-18,12.7458333333333,0,1170,83.13875
2017-02-19,11.7708333333333,0,576,87.3883333333333
2017-02-20,11.4541666666667,0,2075,81.92625
2017-02-21,13.0125,0,2313,77.4320833333333
2017-02-22,13.8958333333333,0,3044,74.51125
2017-02-23,14.7333333333333,0,3219,69.2058333333333
2017-02-24,14.9916666666667,0,2231,76.5166666666667
2017-02-25,15.7875,0,2305,73.9420833333333
2017-02-26,15.1708333333333,0,3196,73.305
2017-02-27,16.8916666666667,0,1855,67.51875
2017-02-28,15.7208333333333,0,2463,71.1720833333333
2017-03-01,12.6708333333333,0,1684,85.1633333333333
2017-03-02,12.4375,0,752,89.2041666666667
2017-03-03,12.4875,0,657,87.9408333333333
2017-03-04,15.0583333333333,0,2715,77.5333333333333
2017-03-05,15.7541666666667,0,2055,84.78
2017-03-06,15.2708333333333,0,3312,77.7204166666667
2017-03-07,14.625,0,591,88.0570833333333
2017-03-08,14.5916666666667,0,2333,81.5104166666667
2017-03-09,14.3791666666667,0,1273,84.86
2017-03-10,11.1375,0,3402,81.3916666666667
2017-03-11,11.4166666666667,0,454,84.6166666666667
2017-03-12,9.97916666666667,0,1204,84.5325
2017-03-13,9.70416666666667,0,974,89.6558333333333
2017-03-14,8.63333333333333,0,2255,87.9795833333333
2017-03-15,10.5875,0,1998,85.4845833333333
2017-03-16,11.7541666666667,0,1614,84.34
2017-03-17,11.9,0,1657,82.9775
2017-03-18,11.5041666666667,0,3403,78.5429166666667
2017-03-19,12.85,0,5013,73.38
2017-03-20,12.3416666666667,0,3199,74.5508333333333
2017-03-21,10.2541666666667,0,1247,84.9220833333333
2017-03-22,9.84583333333333,0,1460,85.0370833333333
2017-03-23,10.7875,0,2543,84.4554166666667
2017-03-24,9.85416666666667,0,1376,84.8125
2017-03-25,10.8166666666667,0,3540,77.3383333333333
2017-03-26,11.625,0,1348,85.5858333333333
2017-03-27,10.425,0,2797,86.0083333333333
2017-03-28,10.5,0,996,88.1216666666667
2017-03-29,10.225,0,2154,84.3845833333333
2017-03-30,10.2125,0,5552,79.6608333333333
2017-03-31,11.0208333333333,0,2977,80.2075
